"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
-0.3503	-0.6412	-0.239	-1.6085	11.1209	-4.712	4.5674	8.3471	0.1868	5.2782	1.51	-3.4713	-0.6508
-0.4054	0.1508	0.6999	-0.6915	10.6558	-3.9745	4.2982	8.1176	0.1303	4.8795	1.0226	-2.2106	-0.5841
-6.6306	0.815	0.8527	0.8792	11.9868	-11.8691	4.4552	-8.4827	7.0364	6.6433	-10.6922	-7.873	-17.2603
-0.7169	0.2281	0.3298	-1.1061	2.349	1.631	1.6164	0.9489	-0.9195	0.3373	-2.3169	-2.6461	0.3615
-1.0269	0.0895	0.3032	-0.1967	1.9168	2.0212	1.4272	0.7525	-1.1395	-0.5931	-2.1905	-1.9885	0.6754
-0.7288	0.1419	0.4292	0.475	1.7508	2.5174	1.5159	0.7276	-1.1885	-0.9691	-2.2177	-0.7689	0.9848
-0.9512	-0.4931	-0.3309	-0.9833	2.1668	1.4766	1.61	1.1322	-1.0116	-0.1465	-1.6057	-3.1173	0.7452
-0.9338	1.3205	1.7939	0.8241	1.2187	2.9808	1.2336	0.7505	-0.9874	-0.5511	-2.9117	-0.4546	0.854
-0.4342	-0.6424	-0.5358	-1.0676	2.3264	1.7398	1.8306	1.3763	-1.0299	0.049	-1.6987	-2.6586	0.9439
1.2961	-0.862	-0.8344	-0.6169	2.3944	2.9884	2.4498	2.0321	-1.3846	0.2985	-1.7861	0.0972	2.1836
-0.4553	-1.3714	-1.3354	-1.0675	2.6023	1.3701	2.064	1.2553	-1.1293	-0.3545	-1.2579	-2.7135	1.1971
-0.4587	1.0046	1.0146	0.5582	-1.1956	3.6629	-1.9448	-0.7751	-1.8053	-1.7976	-1.8699	-0.1972	-1.5962
1.2866	0.6004	0.4038	-0.3883	1.7363	4.1068	0.2814	2.0393	-2.3097	-2.4916	-1.4234	1.4701	0.8771
1.1059	1.186	1.0574	-0.0513	1.4639	4.453	0.0378	1.8457	-2.3082	-2.514	-1.7165	1.8464	0.7859
1.3612	-0.4187	-0.4909	0.1091	1.6173	3.9548	0.6209	2.2046	-2.2033	-3.0689	-0.5685	1.929	1.597
1.0414	-0.4515	-0.3849	-0.0665	1.2893	3.7681	0.579	2.2866	-1.9447	-2.8082	-0.4476	1.1452	1.6949
1.3089	-0.5381	-0.6793	-0.1961	1.7329	3.7712	0.6563	2.0577	-2.1717	-2.9044	-0.6246	1.4875	1.4232
0.9868	0.067	0.1756	0.2187	1.1291	4.0756	0.4138	2.2078	-2.0027	-2.8207	-0.774	1.507	1.5117
1.7993	-0.4592	-0.5935	-0.1501	1.7345	4.1757	0.8229	2.4337	-2.2552	-2.7211	-0.6838	2.1186	1.7954
1.6255	0.9818	0.7309	-0.1245	1.7775	4.5882	0.2898	1.9713	-2.4031	-2.4996	-1.7785	2.4951	0.9161
1.2948	-0.673	-1.1282	0.089	2.7869	3.6849	0.6784	1.4361	-2.7362	-3.9193	-0.873	2.2851	0.9019
1.1883	-0.0727	-0.2081	0.0021	1.6135	3.945	0.4203	1.8984	-2.2269	-3.0177	-0.7896	1.7619	1.254
1.1949	0.3173	0.2519	0.492	1.554	4.226	0.3697	1.8957	-2.3015	-3.2814	-1.0426	2.5057	1.2786
0.9535	-0.2138	-0.3115	0.1133	1.6969	3.8439	0.4976	1.7908	-2.2158	-3.187	-0.8992	1.5198	1.1898
1.2829	1.3275	1.3127	-0.1359	1.0606	4.4981	-0.0321	2.179	-2.047	-2.0125	-1.609	1.7774	0.8751
1.5109	-0.5318	-0.7772	-0.2794	1.9361	3.9215	0.6749	2.0044	-2.3939	-2.9756	-0.7126	1.7388	1.4566
1.3575	0.6901	0.4867	-0.1417	1.7513	4.3299	0.2449	1.8985	-2.4234	-2.6833	-1.5569	1.9638	0.817
1.4735	-0.1645	-0.1423	-0.0854	1.2094	4.1933	0.5976	2.5236	-2.0536	-2.5269	-0.6234	1.6247	1.835
1.1829	-0.5493	-0.6047	-0.4735	1.5226	3.6865	0.6269	2.2839	-2.0837	-2.5136	-0.3985	0.8546	1.6294
1.506	1.3764	1.378	0.341	1.2453	4.9598	0.2608	2.1664	-2.202	-2.3088	-1.9162	2.7435	1.1935
0.7728	0.3376	0.2871	0.0746	1.5176	3.7527	0.2134	1.7931	-2.066	-2.871	-0.9438	1.3671	0.8522
0.8056	0.2739	0.237	0.4054	1.442	4.0265	0.2336	1.6516	-2.2357	-3.2914	-1.1331	1.8103	0.9937
-0.3679	0.3107	0.2804	-0.2811	1.6633	3.0699	-0.1026	1.3702	-1.977	-3.1288	-0.9567	-0.4969	0.1464
1.477	-0.035	-0.1787	0.2404	1.7457	4.3404	0.5557	1.9462	-2.4054	-3.1054	-0.9955	2.4226	1.406
1.4529	0.1769	0.0475	0.1561	1.6717	4.376	0.4647	1.9565	-2.4006	-3.0198	-1.2104	2.3783	1.2573
-0.2787	1.116	0.7949	0.6675	-0.2234	3.5546	-1.9436	-1.3119	-2.2808	-2.4331	-2.3206	0.7328	-2.0126
1.6474	0.2381	1.6899	1.7843	-17.4083	3.3714	-12.714	2.6418	-0.7068	-8.8555	13.911	4.3537	3.484
-0.2318	0.5999	0.398	-0.1902	-0.6494	3.1287	-1.723	-0.7974	-1.795	-1.4643	-1.7649	-0.7511	-1.6698
-0.2859	0.3002	0.32	0.2452	-0.9805	3.5258	-1.5561	-0.3916	-1.7469	-1.6407	-1.452	-0.7108	-1.0562
-0.2149	0.6119	0.6688	0.4387	-1.1487	3.497	-1.6685	-0.3938	-1.6483	-1.585	-1.5341	-0.2299	-1.0654
-0.0256	0.0489	0.0153	0.239	-0.9757	3.5124	-1.4975	-0.2351	-1.8064	-1.7187	-1.2274	-0.3962	-0.7832
-0.0481	-0.6119	-0.705	-2.0956	5.361	-7.8503	4.8149	-2.2977	5.1787	3.8019	0.5366	0.3297	-2.2872
-0.0163	-0.5315	-0.616	-2.0904	5.1064	-7.7339	4.7659	-2.3164	5.2006	3.9026	0.4893	0.314	-2.206
-0.7737	0.5989	0.5247	0.3274	-0.0647	0.1133	-4.718	2.2864	-3.1777	-1.2625	4.7504	-0.0206	-1.3102
-0.2946	0.1739	0.2699	-3.1811	1.4161	-5.1102	-2.6883	9.9542	2.1534	-1.9444	3.688	-4.9935	1.5849
-0.4284	-0.8814	-0.9028	-1.3995	-5.0977	-2.7724	-3.7966	-0.3533	-0.0796	1.0179	6.4293	-3.0818	0.1087
-0.4386	-1.9863	-1.9789	-1.3109	-5.1687	-3.0965	-3.6023	-0.3224	-0.0978	0.4841	7.2113	-3.2979	0.5507
-0.3373	-1.6242	-1.7866	-1.5869	-4.6739	-3.0098	-3.6693	-0.3937	-0.2636	0.6262	6.7537	-3.2848	0.0737
0.9416	1.2781	1.3836	0.3697	-2.2929	6.663	0.1985	-0.1244	-2.3564	-2.0672	-3.836	1.7923	3.0078
0.7242	1.5024	1.6202	0.4752	-2.3494	6.5931	0.0796	-0.3441	-2.3747	-2.1327	-3.9675	1.7422	2.8208
0.019	0.9072	1.2008	-0.075	-5.7979	8.8748	3.3528	-4.5414	-3.2975	0.2765	-3.1382	1.9064	9.8717
