"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
0.0967	0.0933	0.1003	0.4904	9.0553	13.558	3.9133	4.6228	7.8073	2.8529	7.4839	3.8173	5.5109
0.096	0.3297	0.0939	0.0959	7.1775	3.7581	4.8922	4.4702	1.9691	4.5176	4.2516	2.0475	5.7035
0.0983	0.3301	0.0936	0.0979	7.0209	3.6863	4.4767	4.193	1.9862	4.1826	4.3967	1.932	5.7231
2.1587	0.0929	0.0972	0.097	9.4524	10.0754	4.752	6.381	5.3059	4.836	7.2886	5.251	11.6858
0.6092	0.0949	0.0874	0.0934	1.4667	2.9787	1.2698	1.8338	1.778	1.0405	1.8893	1.6156	1.4736
0.1	0.0946	0.28	0.4238	1.6672	2.9012	1.2618	1.7361	2.0819	1.1875	1.9212	1.5698	1.695
0.5412	0.0966	0.2564	0.0945	1.7666	2.6805	1.3705	1.6368	2.0851	1.346	2.0175	1.5813	1.84
0.0915	0.5268	0.5083	0.1013	1.7185	3.0142	1.4282	2.0467	2.0148	1.1628	1.8102	1.9206	1.8428
0.5282	0.2553	0.0992	0.0985	1.6632	2.8076	1.3183	1.5564	2.0127	1.2677	2.1342	1.338	1.7145
0.5315	0.0933	0.0892	0.0972	1.6132	3.0735	1.4489	2.0671	1.8026	1.1031	1.7538	1.8654	1.8957
0.0996	0.1008	0.2555	0.0914	1.7569	3.1496	1.5392	2.2242	1.7469	1.2022	1.6588	1.6625	2.2714
0.546	0.2557	0.0973	0.0971	1.722	3.0106	1.7774	2.1059	1.9615	1.1541	1.7516	2.1347	2.1204
0.5929	0.0995	0.2888	0.0979	1.8192	2.4479	1.8777	1.2879	1.839	1.8905	1.9519	1.4222	2.3128
0.4922	0.098	0.2442	0.1016	1.6024	3.0123	1.0748	1.4552	2.0676	1.6092	1.5562	1.4932	1.398
0.4991	0.0922	0.0926	0.095	1.4596	2.9559	1.1068	1.4698	2.0939	1.6094	1.5176	1.3841	1.4583
0.096	0.1033	0.2423	0.1	1.7764	2.8021	1.1988	1.4781	2.1385	1.5716	1.5305	1.6648	1.9508
0.5075	0.0901	0.0886	0.3981	1.6319	2.9926	1.1832	1.5855	2.2201	1.4664	1.4078	1.8224	1.995
0.0994	0.0929	0.0921	0.398	1.793	2.7973	1.3513	1.458	2.0805	1.5482	1.5167	1.7586	1.8068
0.5009	0.0905	0.0936	0.0998	1.6655	2.9119	1.1272	1.4912	2.2719	1.5208	1.488	1.7454	1.8787
0.0936	0.0953	0.2367	0.0987	1.773	3.0978	1.264	1.5724	2.1905	1.5534	1.6255	1.7229	2.0536
0.0992	0.0937	0.237	0.0953	1.5496	2.9614	1.053	1.4694	2.0358	1.6494	1.5606	1.2988	1.2982
0.4883	0.0925	0.0924	0.0953	1.9461	2.5857	1.3448	1.435	2.2948	1.7689	1.7717	1.6454	1.7283
0.4538	0.0861	0.0934	0.105	1.5729	2.8235	1.139	1.3854	2.0818	1.6026	1.4815	1.594	1.6396
0.0947	0.0983	0.2371	0.0968	1.846	2.6771	0.9599	1.3746	2.2593	1.8296	1.6017	1.517	1.7139
0.0971	0.2462	0.0946	0.0885	1.7907	2.7905	1.1919	1.5178	2.2947	1.571	1.6382	1.5841	1.7793
