"canopy_height_m"	"ldmc_geo_mgg"	"leaf_mass_mg"	"leaf_size_mm2"	"seed_mass_mg"
7.6842	-0.1338	-0.0357	0.1841	4.2458
3.0387	0.4651	1.2276	1.458	1.3531
0.414	-0.5153	1.208	1.5017	0.6691
-0.0188	-1.0844	1.5827	1.5782	-0.6813
0.5497	0.2206	2.6356	2.3409	-0.6726
-0.4873	0.58	-1.2932	-1.5057	-0.7715
0.3643	-0.699	0.5432	0.6498	0.0995
1.1981	0.9229	0.589	0.7357	0.4097
-0.0495	0.8626	-0.7245	-0.4941	-0.2465
0.3697	2.0305	1.112	1.0657	-0.9495
0.2393	-0.0454	0.3451	0.4759	0.0586
4.1941	1.2627	-1.3704	-1.4148	0.9805
-0.8536	-0.6573	-0.739	-0.856	-0.8472
-0.804	-0.3065	0.7319	0.5476	0.2261
-0.0717	-1.4115	0.2481	0.3645	-0.6125
-0.7525	-0.8678	1.0121	0.8872	-0.2461
-0.1952	0.705	-1.3038	-1.0436	-0.7083
-1.1989	0.4009	-2.2365	-2.1539	-0.4411
-0.0364	1.1079	-0.8944	-0.8288	-0.7513
0.2318	1.0803	-0.7963	-0.6968	-0.7945
0.6541	1.5671	-0.7698	-0.7224	-0.8741
0.293	1.3449	-0.0674	0.0384	-0.6095
-1.8471	0.459	-1.4639	-1.0322	0.2731
0.1457	-0.6001	0.0989	0.4005	2.2084
-0.2214	-0.7317	0.3724	0.4851	2.6878
0.0735	-0.549	-0.2502	0.0135	2.028
1.0059	0.2955	-0.5984	-0.5074	-0.2863
3.896	1.331	0.9152	0.6341	-0.0958
3.6572	1.8239	0.9317	0.5364	-1.065
-2.3053	-1.3924	-1.7595	-1.9219	-0.5212
0.0403	1.5567	-1.0192	-0.9717	-0.3378
0.5076	1.3408	0.1523	0.4346	0.0473
-0.9828	0.373	0.8996	0.7933	-0.5167
-1.1307	-0.4918	0.8791	1.0202	-0.3192
-0.3837	-0.3083	-0.4831	-0.248	-0.2736
0.8577	1.1716	-0.1087	-0.0965	2.1584
0.1296	-0.6964	-0.0184	0.1308	-0.025
-2.1637	7.9514	-2.9899	-3.0435	-2.1198
-0.0906	0.1562	-0.0392	-0.2047	0.2452
-0.2244	-0.7543	-0.3491	-0.2568	-0.0237
0.0356	0.0389	0.1629	0.0911	0.4871
-0.5459	-0.1773	-0.0812	-0.1827	-0.3716
0.0883	-0.3786	0.9112	0.9864	0.1414
0.694	-0.1056	0.7327	0.6716	0.2738
-0.4199	-0.44	0.7847	0.7219	0.3939
-0.7783	-1.0276	-0.1767	-0.1323	0.1671
-0.3921	-0.0424	-0.0456	-0.1382	-0.9147
0.3338	-1.1446	0.9934	1.079	1.5312
0.2484	-0.7559	0.4414	0.5127	0.5619
0.2031	-0.9782	2.0469	0.3161	-0.2676
-0.0522	-0.4627	1.976	0.0968	-0.1923
0.533	-0.2813	1.9611	0.1054	-0.5773
-0.4073	1.1933	-0.5042	-0.6214	-0.3715
0.4459	-1.3635	1.0461	1.1842	0.5675
-0.3082	-1.4543	-0.021	0.1734	0.23
0.6673	1.8582	-0.4094	-0.5385	1.399
0.2477	0.5338	-0.2581	-0.571	1.447
0.2023	1.9268	1.3381	1.2489	1.0345
0.2536	-0.7791	0.5784	0.8918	-0.0322
-0.8886	-1.2753	-0.7474	-0.287	-0.4766
0.5855	-0.0861	0.7857	1.0045	-0.0511
