"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"586",148,"Cota tinctoria","","Cota",2,"Cota tinctoria","(L.) J.Gay","Cota",2,"gcc-33458",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Cota tinctoria",NA
"1878",149,"Smilax aspera","","Smilax",2,"Smilax aspera","L.","Smilax",2,"kew-288512",1,FALSE,0.8,0,NA,NA,NA,NA,"Smilacaceae",NA,"Smilax aspera",NA
"139",150,"Anacamptis papilionacea","","Anacamptis",2,"Anacamptis papilionacea","""(L.) R.M.Bateman, Pridgeon & M.W.Chase""","Anacamptis",2,"kew-8590",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Anacamptis papilionacea",NA
"1292",151,"Mercurialis annua","","Mercurialis",2,"Mercurialis annua","L.","Mercurialis",2,"kew-125710",1,FALSE,0.8,0,NA,NA,NA,NA,"Euphorbiaceae",NA,"Mercurialis annua",NA
"1837",152,"Serapias cordigera","","Serapias",2,"Serapias cordigera","L.","Serapias",2,"kew-190566",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Serapias cordigera",NA
"1180",153,"Limodorum abortivum","","Limodorum",2,"Limodorum abortivum","(L.) Sw.","Limodorum",2,"kew-112374",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Limodorum abortivum",NA
"1129",154,"Lathyrus cicera","","Lathyrus",2,"Lathyrus cicera","L.","Lathyrus",2,"ild-7747",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Lathyrus cicera",NA
"1811",155,"Scrophularia peregrina","","Scrophularia",2,"Scrophularia peregrina","L.","Scrophularia",2,"kew-2585720",1,FALSE,0.8,0,NA,NA,NA,NA,"Scrophulariaceae",NA,"Scrophularia peregrina",NA
"1437",156,"Papaver somniferum","","Papaver",2,"Papaver somniferum","L.","Papaver",2,"kew-2561497",1,FALSE,0.8,0,NA,NA,NA,NA,"Papaveraceae",NA,"Papaver somniferum",NA
"541",157,"Cistus salviifolius","","Cistus",2,"Cistus salviifolius","L.","Cistus",2,"kew-2723633",1,FALSE,0.8,0,NA,NA,NA,NA,"Cistaceae",NA,"Cistus salviifolius",NA
"491",158,"Cephalanthera longifolia","","Cephalanthera",2,"Cephalanthera longifolia","(L.) Fritsch","Cephalanthera",2,"kew-36658",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Cephalanthera longifolia",NA
"153",159,"Anemone hortensis","","Anemone",2,"Anemone hortensis","L.","Anemone",2,"kew-2638287",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Anemone hortensis",NA
"835",160,"Euphorbia prostrata","","Euphorbia",2,"Euphorbia prostrata","Aiton","Euphorbia",2,"kew-81685",1,FALSE,0.8,0,NA,NA,NA,NA,"Euphorbiaceae",NA,"Euphorbia prostrata",NA
"777",161,"Erica arborea","","Erica",2,"Erica arborea","L.","Erica",2,"kew-2792636",1,FALSE,0.8,0,NA,NA,NA,NA,"Ericaceae",NA,"Erica arborea",NA
"540",162,"Cistus monspeliensis","","Cistus",2,"Cistus monspeliensis","L.","Cistus",2,"kew-2723524",1,FALSE,0.8,0,NA,NA,NA,NA,"Cistaceae",NA,"Cistus monspeliensis",NA
"1980",163,"Tordylium apulum","","Tordylium",2,"Tordylium apulum","L.","Tordylium",2,"kew-2435736",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Tordylium apulum",NA
"1792",164,"Saxifraga tridactylites","","Saxifraga",2,"Saxifraga tridactylites","L.","Saxifraga",2,"kew-2584682",1,FALSE,0.8,0,NA,NA,NA,NA,"Saxifragaceae",NA,"Saxifraga tridactylites",NA
"1150",165,"Lavandula stoechas","","Lavandula",2,"Lavandula stoechas","L.","Lavandula",2,"kew-109094",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Lavandula stoechas",NA
"1802",166,"Scilla bifolia","","Scilla",2,"Scilla bifolia","L.","Scilla",2,"kew-288665",1,FALSE,0.8,0,NA,NA,NA,NA,"Asparagaceae",NA,"Scilla bifolia",NA
"1234",167,"Lysimachia foemina","","Lysimachia",2,"Lysimachia foemina","(Mill.) U.Manns & Anderb.","Lysimachia",2,"kew-2896577",1,FALSE,0.8,0,NA,"Anagallis arvensis ssp. foemina","(Mill.) Schinz & Thell.","kew-2636015","Primulaceae",NA,"Anagallis arvensis",NA
"1016",168,"Hippocrepis emerus","","Hippocrepis",2,"Hippocrepis emerus","(L.) Lassen","Hippocrepis",2,"ild-5178",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Hippocrepis emerus",NA
"154",169,"Anemone nemorosa","","Anemone",2,"Anemone nemorosa","L.","Anemone",2,"kew-2638482",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Anemone nemorosa",NA
"1394",170,"Orchis provincialis","","Orchis",2,"Orchis provincialis","Balb. ex Lam. & DC.","Orchis",2,"kew-143097",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Orchis provincialis",NA
"1063",171,"Iris lutescens","","Iris",2,"Iris lutescens","Lam.","Iris",2,"kew-322079",1,FALSE,0.8,0,NA,NA,NA,NA,"Iridaceae",NA,"Iris lutescens",NA
"1327",172,"Narcissus poeticus","","Narcissus",2,"Narcissus poeticus","L.","Narcissus",2,"kew-282063",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaryllidaceae",NA,"Narcissus poeticus",NA
"1393",173,"Orchis pauciflora","","Orchis",2,"Orchis pauciflora","Ten.","Orchis",2,"kew-143055",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Orchis pauciflora",NA
"948",174,"Geranium rotundifolium","","Geranium",2,"Geranium rotundifolium","L.","Geranium",2,"kew-2823982",1,FALSE,0.8,0,NA,NA,NA,NA,"Geraniaceae",NA,"Geranium rotundifolium",NA
"1379",175,"Ophrys sphegodes","","Ophrys",2,"Ophrys sphegodes","Mill.","Ophrys",2,"kew-141753",1,FALSE,0.8,0,NA,NA,NA,NA,"Orchidaceae",NA,"Ophrys sphegodes",NA
"1869",176,"Silene vulgaris","","Silene",2,"Silene vulgaris","(Moench) Garcke","Silene",2,"kew-2487840",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Silene vulgaris",NA
"182",177,"Arabidopsis thaliana","","Arabidopsis",2,"Arabidopsis thaliana","(L.) Heynh.","Arabidopsis",2,"kew-2645262",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Arabidopsis thaliana",NA
"265",178,"Bellis perennis","","Bellis",2,"Bellis perennis","L.","Bellis",2,"gcc-29324",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Bellis perennis",NA
