"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Daphne laureola","Daphne laureola",0.725,276.41,161.84,1518.5,103.4,"Daphne"
"Daphne mezereum","Daphne mezereum",0.7625,186.5,24.1,340.9,43.9,"Daphne"
"Datura stramonium","Datura stramonium",1.375,132.235,667.1875,14739.875,9.03373333333333,"Datura"
"Deschampsia cespitosa","Deschampsia cespitosa",0.4325,337.294,32.495170197619,342.333958333333,0.211112280710526,"Deschampsia"
"Digitalis lutea","Digitalis lutea",0.3,171.68,162.49,3647,0.1,"Digitalis"
"Digitaria ischaemum","Digitaria ischaemum",0.16,165.18,7.37666666666667,109.875,0.748,"Digitaria"
"Digitaria sanguinalis","Digitaria sanguinalis",0.19,170.2,8.625,290.25,0.97,"Digitaria"
"Diplotaxis muralis","Diplotaxis muralis",0.17,139.775,33.93,710.5,0.209333333333333,"Diplotaxis"
"Diplotaxis tenuifolia","Diplotaxis tenuifolia",0.35,113,113.47877698,2296,0.2836,"Diplotaxis"
"Dipsacus fullonum","Dipsacus fullonum",0.9,167,1118.242889,23937,2.70928571428571,"Dipsacus"
"Drosera intermedia","Drosera intermedia",0.035,176.435,0.84,22.04,0.0288,"Drosera"
"Drosera rotundifolia","Drosera rotundifolia",0.0825,134.865,2.17,86.75,0.0176076923076923,"Drosera"
"Echinochloa crus-galli","Echinochloa crus-galli",0.575,189.795,76.90086949,2264.625,2.33476923076923,"Echinochloa"
"Echium vulgare","Echium vulgare",0.433333333333333,142,282.5035784,4523,2.959325,"Echium"
"Eleocharis multicaulis","Eleocharis multicaulis",0.3,282.55,22.72,172.5,0.5912,"Eleocharis"
"Eleusine indica","Eleusine indica",0.1,222.53,11.83,288.25,0.456,"Eleusine"
"Elymus repens","Elymus repens",0.75,273.0475,85.637022682,2361.66666666667,2.37525,"Elymus"
"Epilobium hirsutum","Epilobium hirsutum",1.03333333333333,208,130.14080997,2833,0.127777777777778,"Epilobium"
"Epilobium montanum","Epilobium montanum",0.35,229.333333333333,91.7561712033333,2187,0.1267,"Epilobium"
"Epilobium parviflorum","Epilobium parviflorum",0.433333333333333,160.333333333333,24.9194993,779,0.079411111,"Epilobium"
"Eragrostis minor","Eragrostis minor",0.125,237.126666666667,3.015,118.09,0.092,"Eragrostis"
"Erodium cicutarium","Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,1.40968571428571,"Erodium"
"Erodium moschatum","Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548,"Erodium"
"Eryngium campestre","Eryngium campestre",0.28125,236.3075,3445.1425,32000.42,1.37167142857143,"Eryngium"
"Eryngium maritimum","Eryngium maritimum",0.308333333333333,136.15,707.8625,6625.63,24.7152,"Eryngium"
"Eupatorium cannabinum","Eupatorium cannabinum",1,202,284.17470285,6438.5,0.32999,"Eupatorium"
"Euphorbia amygdaloides","Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776,"Euphorbia"
"Euphorbia dulcis","Euphorbia dulcis",0.3,238.54,12.26,420,2.121,"Euphorbia"
"Euphorbia esula","Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667,"Euphorbia"
"Euphorbia exigua","Euphorbia exigua",0.118333333333333,213,1.073333333,28,0.3035,"Euphorbia"
"Euphorbia helioscopia","Euphorbia helioscopia",0.2,196.666666666667,12.8750590443333,457,2.44,"Euphorbia"
"Euphorbia palustris","Euphorbia palustris",0.975,323.76,29.88,616,9.4425,"Euphorbia"
"Euphorbia peplus","Euphorbia peplus",0.166666666666667,177,1.765363128,79,0.4935,"Euphorbia"
"Fallopia convolvulus","Fallopia convolvulus",0.6875,200,44.2627872366667,602.666666666667,4.038,"Fallopia"
"Fallopia dumetorum","Fallopia dumetorum",1.875,214.703333333333,85.6,1530.47666666667,3.3956,"Fallopia"
"Filago pyramidata","Filago pyramidata",0.1475,280.13,0.91,32.625,0.0505633333333333,"Filago"
"Filipendula vulgaris","Filipendula vulgaris",0.325,295,141.8009479,3520,0.786672727272727,"Filipendula"
"Foeniculum vulgare","Foeniculum vulgare",1.7875,234.5,1062.4,9445,2.70466666666667,"Foeniculum"
"Fragaria vesca","Fragaria vesca",0.108333333333333,388,132.86116195,2393.5,19.8767266666667,"Fragaria"
"Frangula alnus","Frangula alnus",3.85714285714286,256,78.8,964.55,125.929142857143,"Frangula"
"Fumaria officinalis","Fumaria officinalis",0.6,133,7.147196262,266,3.09202857142857,"Fumaria"
"Galanthus nivalis","Galanthus nivalis",0.14,102.88,46.75,1403.5,6.392,"Galanthus"
"Galega officinalis","Galega officinalis",0.9,127.73,217.7675,8986,8.13991111111111,"Galega"
"Galium aparine","Galium aparine",0.708333333333333,140,5.69581057933333,161.333333333333,9.44548666666667,"Galium"
"Galium mollugo","Galium mollugo",0.5,169.456666666667,2.36959020466667,80.5,0.732290909090909,"Galium"
"Galium palustre","Galium palustre",0.435,181.26,0.7408707325,32.5,0.9095,"Galium"
"Galium parisiense","Galium parisiense",0.19875,200.1,0.58,13.6,0.2609806338,"Galium"
"Galium rotundifolium","Galium rotundifolium",0.15,140.34,1.955,110,0.955333333333333,"Galium"
"Galium verum","Galium verum",0.383333333333333,228.1325,0.803690617333333,15.6666666666667,0.5059708333125,"Galium"
"Genista pilosa","Genista pilosa",0.2175,370.595,1.66666666666667,20.6,2.669,"Genista"
"Genista tinctoria","Genista tinctoria",0.5125,248,7.5744204,134.69,3.57154285714286,"Genista"
