"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Geranium columbinum","Geranium columbinum",0.266666666666667,268,20.3771889975,560.5,3.5732,"Geranium"
"Geranium dissectum","Geranium dissectum",0.266666666666667,238,46.47570334,1074.66666666667,2.56533333333333,"Geranium"
"Geranium lucidum","Geranium lucidum",0.191666666666667,193.5,35.83756135,934.5,0.735,"Geranium"
"Geranium molle","Geranium molle",0.183333333333333,186.666666666667,26.70498686,709.666666666667,1.086875,"Geranium"
"Geranium pusillum","Geranium pusillum",0.183333333333333,201.666666666667,74.34298168,1898.66666666667,0.800636363636364,"Geranium"
"Geranium robertianum","Geranium robertianum",0.216666666666667,185.666666666667,41.1824691966667,1224,1.45325833333333,"Geranium"
"Geranium sanguineum","Geranium sanguineum",0.216666666666667,259,57.27194464,1167,9.67606666666667,"Geranium"
"Geranium sylvaticum","Geranium sylvaticum",0.277,218.4,93.1264914285714,1889.33884615385,6.01977777777778,"Geranium"
"Geum urbanum","Geum urbanum",0.366666666666667,302,151.9693888,3441,2.047383333375,"Geum"
"Glaucium flavum","Glaucium flavum",0.4975,147.33,280.905,4986,0.932057142857143,"Glaucium"
"Glechoma hederacea","Glechoma hederacea",0.27,160,20.9567014945,882,0.6684,"Glechoma"
"Glyceria fluitans","Glyceria fluitans",0.5,277.9,28.6974854966667,1118.58333333333,1.1985,"Glyceria"
"Glyceria maxima","Glyceria maxima",1.3,248.58,307.323307,9863,0.571,"Glyceria"
"Gratiola officinalis","Gratiola officinalis",0.275,188.87,5.97,158.75,0.0253333333333333,"Gratiola"
"Helianthemum nummularium","Helianthemum nummularium",0.114,264,5.539920949,72.025,1.09072727272727,"Helianthemum"
"Helleborus foetidus","Helleborus foetidus",0.3375,180.71,467.55,8718.08333333333,11.3584,"Helleborus"
"Helleborus viridis","Helleborus viridis",0.258333333333333,236,2428.443626,27262,9.1538,"Helleborus"
"Herniaria hirsuta","Herniaria hirsuta",0.0975,210.23,0.513333333333333,14.125,0.0561675,"Herniaria"
"Hieracium murorum","Hieracium murorum",0.135,124.175,102.0575,4069.375,0.4,"Hieracium"
"Hieracium sabaudum","Hieracium sabaudum",0.8,112,37.095,1637,0.4701,"Hieracium"
"Hippocrepis comosa","Hippocrepis comosa",0.163333333333333,233.166666666667,17.024,218.166666666667,3.74848888888889,"Hippocrepis"
"Holcus lanatus","Holcus lanatus",0.325,230.1775,21.803608515,970.833333333333,0.406916666666667,"Holcus"
"Holcus mollis","Holcus mollis",0.275,216,30.11501273,1053.5,0.3484,"Holcus"
"Hordeum murinum","Hordeum murinum",0.3075,197.183333333333,12.035450072,519.8125,9.2693402598,"Hordeum"
"Hordeum secalinum","Hordeum secalinum",0.325,240,14.264796275,473,3.68253846153846,"Hordeum"
"Hordeum vulgare","Hordeum vulgare",1.0075,175.29,156.405,2321.83333333333,40.905,"Hordeum"
"Hornungia petraea","Hornungia petraea",0.0616666666666667,143,0.736842105,14,0.0712666666666667,"Hornungia"
"Hottonia palustris","Hottonia palustris",0.4,46.72,1.68,151.17,0.1348,"Hottonia"
"Humulus lupulus","Humulus lupulus",5.5,292.5,436.38856055,7711,4.11258333333333,"Humulus"
"Hydrocotyle vulgaris","Hydrocotyle vulgaris",0.2125,123.356,20.26188268,655,0.36,"Hydrocotyle"
