"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Fumaria officinalis",0.417130904111299,-0.884796045091278,-0.869235141916942,NA,0.540325909561755,"Fumaria"
"Galanthus nivalis",-0.967440861801609,-1.56833240641148,0.0814967053739229,0.206228470238207,0.888841849771963,"Galanthus"
"Galega officinalis",0.802893610036897,-0.992417600194335,0.860376242183885,1.18931911603485,NA,"Galega"
"Galium aparine",0.575050474735418,NA,-0.984141998405109,-0.939176863584454,NA,"Galium"
"Galium mollugo",NA,NA,-1.42810539216666,-1.307281711119,-0.150930383294521,"Galium"
"Galium palustre",NA,-0.0607185007925916,-2.01666201321208,NA,NA,"Galium"
"Galium parisiense",-0.634062462710421,0.202502139938736,-2.14058408269648,NA,NA,"Galium"
"Galium rotundifolium",-0.901800499012899,-0.741802053520057,NA,NA,-0.0233322738429483,"Galium"
"Galium verum",-0.00912335507753296,NA,-1.97546153091283,-2.17389833926421,NA,"Galium"
"Genista pilosa",-0.548291997081591,NA,NA,-2.02894927968305,0.469720725655459,"Genista"
"Genista tinctoria",0.267161481756101,NA,-0.839845592601404,-1.03474686269217,0.609513842097645,"Genista"
"Geranium columbinum",NA,0.980226560653873,-0.338868802524655,-0.2797815334424,0.609736458873313,"Geranium"
"Geranium dissectum",-0.354394507739894,0.66421652037037,0.0785177994249903,NA,NA,"Geranium"
"Geranium lucidum",NA,0.113222988384589,-0.0530659685707361,NA,-0.149158266343548,"Geranium"
"Geranium molle",-0.71088081459754,0.0175199229664227,NA,-0.154841445129033,NA,"Geranium"
"Geranium pusillum",-0.71088081459754,NA,0.316320269417484,NA,NA,"Geranium"
"Geranium robertianum",NA,NA,NA,0.133771386200609,0.177989030202204,"Geranium"
"Geranium sanguineum",NA,0.889299192737935,0.184257986746851,0.10852148403845,1.08781409626942,"Geranium"
"Geranium sylvaticum",-0.318223818378366,NA,0.430356520424002,NA,0.860049103654509,"Geranium"
"Geum urbanum",-0.0514151130354382,NA,0.678263585898989,0.68106524492494,NA,"Geum"
"Glaucium flavum",0.23889976325678,NA,0.989254473210776,0.877435639260959,NA,"Glaucium"
"Glechoma hederacea",-0.342575624109149,-0.39281260706964,-0.324673139958994,-0.0397335695050607,NA,"Glechoma"
"Glyceria fluitans",0.243668735133147,NA,-0.165541851347437,NA,0.0854935513165311,"Glyceria"
"Glyceria maxima",1.15274986987368,0.77999300785247,1.03475558461114,1.23862594707069,-0.270325094196998,"Glyceria"
"Gratiola officinalis",-0.325118108671941,0.0487557738137337,-0.960341478076665,NA,-1.76535532508997,"Gratiola"
"Helianthemum nummularium",-1.16290188131817,0.940197348507169,-0.998189996221185,NA,0.0402740617928477,"Helianthemum"
"Helleborus foetidus",NA,NA,1.24716920699089,NA,1.16474373348137,"Helleborus"
"Helleborus viridis",NA,0.641753159676926,NA,1.77695325587623,1.06118594589704,"Helleborus"
"Herniaria hirsuta",-1.31165076739657,0.333959506382864,NA,-2.22874698683773,-1.38324733533538,"Herniaria"
"Hieracium murorum",-1.00204132567125,-1.06755430602621,NA,0.769874020655236,NA,"Hieracium"
"Hieracium sabaudum",0.690833899747801,-1.34224294568934,-0.0356085886049491,NA,-0.363639474225428,"Hieracium"
"Hippocrepis comosa",-0.820780687642876,0.609602025253734,NA,-0.779385906776726,NA,"Hippocrepis"
"Holcus lanatus",NA,0.575256279141775,-0.304618153519203,0.0110770899349862,NA,"Holcus"
"Holcus mollis",NA,0.4060335403076,-0.141134728302009,0.0543456173101806,-0.507415981700936,"Holcus"
"Hordeum murinum",NA,0.163416722538269,-0.605424668719697,-0.319683950595517,NA,"Hordeum"
"Hordeum secalinum",NA,0.686491900946858,NA,-0.369652746643024,0.624201136194208,"Hordeum"
"Hordeum vulgare",NA,-0.149867193722916,0.692827422950944,0.472763919717879,1.77964244645497,"Hordeum"
"Hornungia petraea",-1.7474991371025,-0.691820815913666,NA,-2.23345353458611,NA,"Hornungia"
"Hottonia palustris",0.0313681981857021,-3.66960613781607,-1.60220677161288,NA,NA,"Hottonia"
"Humulus lupulus",NA,1.21308275255903,1.2122534541517,1.10829764383579,0.677206105163345,"Humulus"
"Hydrocotyle vulgaris",-0.570418759410627,NA,NA,NA,NA,"Hydrocotyle"
"Hypericum elodes",-0.850360517712375,0.344574235159619,-1.1681469234951,NA,-1.244909899466,"Hypericum"
