"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Galium mollugo",0.5,169.456666666667,2.36959020466667,80.5,0.732290909090909,"Galium"
"Galium palustre",0.435,181.26,0.7408707325,32.5,0.9095,"Galium"
"Galium parisiense",0.19875,200.1,NA,13.6,0.2609806338,"Galium"
"Galium rotundifolium",0.15,140.34,1.955,110,0.955333333333333,"Galium"
"Galium verum",0.383333333333333,228.1325,0.803690617333333,15.6666666666667,0.5059708333125,"Galium"
"Genista pilosa",0.2175,370.595,1.66666666666667,20.6,2.669,"Genista"
"Genista tinctoria",0.5125,248,7.5744204,134.69,3.57154285714286,"Genista"
"Geranium columbinum",0.266666666666667,268,NA,560.5,3.5732,"Geranium"
"Geranium dissectum",0.266666666666667,238,46.47570334,1074.66666666667,2.56533333333333,"Geranium"
"Geranium lucidum",0.191666666666667,193.5,35.83756135,934.5,0.735,"Geranium"
"Geranium molle",0.183333333333333,186.666666666667,26.70498686,709.666666666667,1.086875,"Geranium"
"Geranium pusillum",NA,201.666666666667,74.34298168,1898.66666666667,NA,"Geranium"
"Geranium robertianum",0.216666666666667,185.666666666667,41.1824691966667,NA,1.45325833333333,"Geranium"
"Geranium sanguineum",NA,259,57.27194464,1167,9.67606666666667,"Geranium"
"Geranium sylvaticum",0.277,NA,93.1264914285714,1889.33884615385,6.01977777777778,"Geranium"
"Geum urbanum",0.366666666666667,302,151.9693888,3441,2.047383333375,"Geum"
"Glaucium flavum",0.4975,147.33,280.905,4986,0.932057142857143,"Glaucium"
"Glechoma hederacea",0.27,160,20.9567014945,882,0.6684,"Glechoma"
"Glyceria fluitans",0.5,277.9,28.6974854966667,1118.58333333333,1.1985,"Glyceria"
"Glyceria maxima",NA,248.58,307.323307,NA,NA,"Glyceria"
"Gratiola officinalis",0.275,188.87,5.97,NA,0.0253333333333333,"Gratiola"
"Helianthemum nummularium",0.114,264,5.539920949,72.025,1.09072727272727,"Helianthemum"
"Helleborus foetidus",0.3375,180.71,467.55,8718.08333333333,11.3584,"Helleborus"
"Helleborus viridis",0.258333333333333,236,2428.443626,27262,9.1538,"Helleborus"
"Herniaria hirsuta",0.0975,210.23,0.513333333333333,NA,NA,"Herniaria"
"Hieracium murorum",NA,124.175,102.0575,4069.375,0.4,"Hieracium"
"Hieracium sabaudum",NA,112,37.095,1637,0.4701,"Hieracium"
"Hippocrepis comosa",0.163333333333333,233.166666666667,17.024,NA,3.74848888888889,"Hippocrepis"
"Holcus lanatus",0.325,230.1775,21.803608515,970.833333333333,NA,"Holcus"
"Holcus mollis",0.275,216,30.11501273,1053.5,0.3484,"Holcus"
"Hordeum murinum",0.3075,197.183333333333,12.035450072,519.8125,9.2693402598,"Hordeum"
"Hordeum secalinum",NA,240,14.264796275,473,3.68253846153846,"Hordeum"
"Hordeum vulgare",1.0075,175.29,156.405,2321.83333333333,NA,"Hordeum"
"Hornungia petraea",0.0616666666666667,143,0.736842105,14,0.0712666666666667,"Hornungia"
"Hottonia palustris",0.4,46.72,1.68,151.17,0.1348,"Hottonia"
"Humulus lupulus",5.5,292.5,436.38856055,7711,4.11258333333333,"Humulus"
