"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","sbs_name","genus"
"Cymbalaria muralis",-0.415796966428953,-2.0765196275314,-0.155768853605559,-0.0436501055755409,-1.00707633079464,"Cymbalaria muralis","Cymbalaria"
"Cynodon dactylon",-1.19688434718148,0.504859717601149,-1.06067066835612,-1.112704145749,-0.94752668871871,"Cynodon dactylon","Cynodon"
"Cynosurus cristatus",0.32856394044516,0.764779391012155,-0.624222682358424,-0.533162674502178,-0.290514134698364,"Cynosurus cristatus","Cynosurus"
"Cyperus longus",0.35149054132259,0.701202498508938,0.168986599496453,0.14362849978084,-1.3281560486717,"Cyperus longus","Cyperus"
"Dactylis glomerata",0.151847502337208,0.92502982915021,0.114529027418262,0.223121389560671,-0.0459135673271091,"Dactylis glomerata","Dactylis"
"Danthonia decumbens",-1.2875632049385,1.6029386341342,-0.507287889724124,-0.488363497192866,0.179651040082267,"Danthonia decumbens","Danthonia"
"Daphne laureola",0.597177237064454,1.06247448584529,0.71011964781368,0.247927326139047,2.22468286889797,"Daphne laureola","Daphne"
"Daphne mezereum",0.645157549471651,0.0151421716291495,-0.253926964755332,-0.543061761213166,1.81355344333042,"Daphne mezereum","Daphne"
"Datura stramonium",1.2061138313997,-0.900151132973175,1.42716380779178,1.45135428135925,1.0548495909881,"Datura stramonium","Datura"
"Deschampsia cespitosa",0.105690070295402,1.59237657080454,-0.10262763410092,-0.540839219842557,-0.747829318972117,"Deschampsia cespitosa","Deschampsia"
"Digitalis lutea",-0.2423347974508,-0.20525975499162,0.712148720027616,0.711850869030283,-1.10642329733241,"Digitalis lutea","Digitalis"
"Digitaria ischaemum",-0.840398040323841,-0.307999461459672,-0.853237669554342,-1.14256682962833,-0.14074435638735,"Digitaria ischaemum","Digitaria"
"Digitaria sanguinalis",-0.676898348734221,-0.228306586796544,-0.774093412961866,-0.628227301351856,-0.0160205727815625,"Digitaria sanguinalis","Digitaria"
"Diplotaxis muralis",-0.782719296358072,-0.752540295106979,-0.0807547546217266,-0.154220058911319,-0.751890388274814,"Diplotaxis muralis","Diplotaxis"
"Diplotaxis tenuifolia",-0.0956746232920653,-1.31858152371466,0.530414838943337,0.466839731452197,-0.606173760720158,"Diplotaxis tenuifolia","Diplotaxis"
"Dipsacus fullonum",0.802893610036897,-0.278830380070076,1.68859830375309,1.70808422519954,0.476910244975762,"Dipsacus fullonum","Dipsacus"
"Drosera intermedia",-2.28637226492581,-0.132536167402349,-1.95309286242137,-1.99317321164758,-1.70380553254441,"Drosera intermedia","Drosera"
"Drosera rotundifolia",-1.47058734281799,-0.847728793820874,-1.47264776354494,-1.26769054452781,-1.93993735695098,"Drosera rotundifolia","Drosera"
"Echinochloa crus-galli",0.376639350848065,0.0617607011734045,0.333444689155052,0.45955441619013,0.405513953579302,"Echinochloa crus-galli","Echinochloa"
"Echium vulgare",0.107521462385979,-0.710500839556515,0.992127120717223,0.825833009971279,0.519274351258429,"Echium vulgare","Echium"
