"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","seed_number"
"36","Alopecurus arundinaceus",0.625,NA,NA,NA,0.42809,NA
"37","Alopecurus bulbosus",0.275,NA,NA,NA,0.4584,963
"38","Alopecurus myosuroides",0.3,272,21.48647482,547,2.15047619042857,2122.1
"39","Alopecurus pratensis",0.45,308.06,43.430614195,1088.125,0.658,45361.375
"40","Alopecurus rendlei",0.3,NA,NA,NA,NA,NA
"41","Althaea hirsuta",0.2,NA,NA,NA,2.45137142857143,NA
"42","Althaea officinalis",0.71625,205.345,173.995,4066.625,5.647,149
"43","Amaranthus albus",0.3,NA,NA,NA,0.3474,500
"44","Amaranthus caudatus",0.715,174.74,200.505,4117.22,0.669,7148.5
"45","Amaranthus deflexus",0.3,NA,NA,NA,NA,NA
"46","Amaranthus hybridus",0.55,NA,NA,NA,0.5518,NA
"47","Amaranthus powellii",0.6,NA,NA,NA,NA,35333.3333333333
"48","Amaranthus retroflexus",0.451666666666667,222.8025,265.49,3602.75,0.462666666666667,30322.7
"49","Ambrosia artemisiifolia",1.095,152.52,125.905,3877,NA,23254.3333333333
"50","Amelanchier ovalis",2,NA,35.93,423.8,198.45,741
"51","Ammi majus",0.395,141.943333333333,2.27333333333333,77.6666666666667,0.615166666666667,NA
"52","Ammi visnaga",NA,NA,NA,NA,0.7432,NA
"53","Ammophila arenaria",0.8,287,120.2657785,972,3.5708,35650
"54","Amorpha fruticosa",2.5,NA,NA,NA,NA,NA
"55","Anacamptis pyramidalis",0.3,112.25,23.58,1190,NA,23666.6666666667
"56","Anagallis arvensis",0.12875,142,2.7625,104,0.49056,30795.4285714286
"57","Anchusa azurea",0.89,123.36,189.67,3611.68,NA,324
"58","Andryala integrifolia",NA,NA,NA,NA,0.186666666666667,NA
"59","Anemone nemorosa",0.138333333333333,205,123.871023095,3003,2.1444,3378.11410269231
"60","Angelica sylvestris",0.783333333333333,220,1531.2,40902,2.42144444444444,11683.20625
"61","Anthemis arvensis",0.285,139.99,11.2233333333333,373.645,0.7576725,11760.2619071429
"62","Anthemis cotula",0.285,107,6.168481375,138,0.4542,6790.35714285714
"63","Anthericum liliago",0.3,162.63,180.665,3337.25,5.56125,22.2
"64","Anthoxanthum odoratum",0.165,258.75,2.31,NA,0.62875,9153.24027916667
"65","Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,1.1758,9135
"66","Anthyllis vulneraria",0.2,170,63.29470563,1007,3.25339166666667,80.2
"67","Antirrhinum majus",0.425,165,26.46061644,303,0.1156,NA
"68","Aphanes arvensis",0.085,264,2.341736695,38,0.21576,49731.13334
"69","Aphanes microcarpa",NA,NA,NA,NA,0.1314425,NA
"70","Apium nodiflorum",0.466666666666667,110,100.510039525,4972.5,0.4996,238
"71","Arabidopsis thaliana",0.133333333333333,103.5,9.642721352,281,0.02088,408333.263636364
"72","Arabis hirsuta",0.323333333333333,166,15.75671642,374,0.0979076923076923,552041.6665
"73","Arabis sagittata",0.425,143.525,15.8725,269.675,0.1,88
"74","Arabis turrita",0.3,NA,NA,NA,0.522496,1030
"75","Arbutus unedo",12,257.5,NA,1562.6,2.53,40
"76","Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328,14136.0952385714
"77","Arctium minus",0.7,177.333333333333,4104.936905,117000,12.0397523809524,8118
"78","Arenaria serpyllifolia",0.165,219.18,0.654718250666667,13.1833333333333,0.0671106060454545,210313.027833333
"79","Aristolochia clematitis",0.4,272.3,509.85,8534.625,32.43675,NA
"80","Arrhenatherum elatius",1.275,291.316666666667,30.654063375,1223,3.07949333333333,12580.333335
"81","Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778,5356
"82","Artemisia annua",0.95,220.88,30.1675,639.692833333333,0.03,NA
"83","Artemisia verlotiorum",1.6,NA,NA,NA,NA,NA
"84","Artemisia vulgaris",1.4,258,255.2913636,3914.42633333333,0.144933333333333,290509.6
"85","Arum italicum",NA,NA,NA,NA,NA,63.79
"86","Arum maculatum",0.2425,117.666666666667,317.9066447,10496.6666666667,72.6432533333333,22.8
"87","Asparagus acutifolius",NA,NA,NA,NA,40.08,NA
"88","Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667,23.5
"89","Asphodelus fistulosus",NA,NA,NA,NA,2.856,NA
"90","Asplenium ruta-muraria",0.09,292.333333333333,11.9220846766667,149.333333333333,NA,NA
"91","Asplenium scolopendrium",0.325,234,1436.8,15385,NA,NA
"92","Asplenium septentrionale",0.115,187.49,10.7,150.5,NA,NA
"93","Asplenium trichomanes",0.175,337,95.5,1042,NA,NA
"94","Astragalus glycyphyllos",0.575,272.5,115.581532135,2720.5,5.15003333333333,8767.875
"95","Athyrium filix-femina",0.65,292,5603.077432,67730,NA,1834146
