"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1650",655,"Ranunculus bulbosus",NA,"Ranunculus",2,"Ranunculus bulbosus","L.","Ranunculus",2,"kew-2524688",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Ranunculus bulbosus",NA
"2078",656,"Veronica anagallis-aquatica",NA,"Veronica",2,"Veronica anagallis-aquatica","L.","Veronica",2,"kew-2453884",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica anagallis-aquatica",NA
"1444",661,"Parthenocissus inserta",NA,"Parthenocissus",2,"Parthenocissus inserta","(A.Kern.) Fritsch","Parthenocissus",2,"kew-2554092",1,FALSE,0.8,0,NA,NA,NA,NA,"Vitaceae",NA,"Parthenocissus inserta",NA
"1929",665,"Stellaria media",NA,"Stellaria",2,"Stellaria media","(L.) Vill.","Stellaria",2,"kew-2481938",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Stellaria media",NA
"2017",671,"Trifolium resupinatum",NA,"Trifolium",2,"Trifolium resupinatum","L.","Trifolium",2,"ild-8136",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Trifolium resupinatum",NA
"284",677,"Blackstonia perfoliata",NA,"Blackstonia",2,"Blackstonia perfoliata","(L.) Huds.","Blackstonia",2,"kew-2676920",1,FALSE,0.8,0,NA,NA,NA,NA,"Gentianaceae",NA,"Blackstonia perfoliata",NA
"434",680,"Carex riparia",NA,"Carex",2,"Carex riparia","Curtis","Carex",2,"kew-230409",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex riparia",NA
"625",681,"Crepis vesicaria",NA,"Crepis",2,"Crepis vesicaria","Balb.","Crepis",2,"gcc-13113",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Crepis vesicaria","Multiple results"
"1333",682,"Nasturtium officinale",NA,"Nasturtium",2,"Nasturtium officinale","R.Br.","Nasturtium",2,"kew-2381026",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Nasturtium officinale",NA
"1139",683,"Lathyrus pratensis",NA,"Lathyrus",2,"Lathyrus pratensis","L.","Lathyrus",2,"ild-7773",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Lathyrus pratensis",NA
"1757",688,"Sagina apetala",NA,"Sagina",2,"Sagina apetala","Ard.","Sagina",2,"kew-2485158",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Sagina apetala",NA
"940",689,"Geranium lucidum",NA,"Geranium",2,"Geranium lucidum","L.","Geranium",2,"kew-2823535",1,FALSE,0.8,0,NA,NA,NA,NA,"Geraniaceae",NA,"Geranium lucidum",NA
"820",694,"Euphorbia exigua",NA,"Euphorbia",2,"Euphorbia exigua","L.","Euphorbia",2,"kew-79610",1,FALSE,0.8,0,NA,NA,NA,NA,"Euphorbiaceae",NA,"Euphorbia exigua",NA
"406",698,"Carex hirta",NA,"Carex",2,"Carex hirta","L.","Carex",2,"kew-227326",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex hirta",NA
"370",699,"Cardamine hirsuta",NA,"Cardamine",2,"Cardamine hirsuta","L.","Cardamine",2,"kew-2699855",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Cardamine hirsuta",NA
"1794",702,"Scandix pecten-veneris",NA,"Scandix",2,"Scandix pecten-veneris","L.","Scandix",2,"kew-2479025",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Scandix pecten-veneris",NA
"1316",703,"Myosotis ramosissima",NA,"Myosotis",2,"Myosotis ramosissima","Rochel","Myosotis",2,"kew-2358285",1,FALSE,0.8,0,NA,NA,NA,NA,"Boraginaceae",NA,"Myosotis ramosissima",NA
"1984",706,"Torilis nodosa",NA,"Torilis",2,"Torilis nodosa","(L.) Gaertn.","Torilis",2,"kew-2438324",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Torilis nodosa",NA
"420",709,"Carex pendula",NA,"Carex",2,"Carex pendula","Huds.","Carex",2,"kew-229622",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex pendula",NA
"402",712,"Carex flacca",NA,"Carex",2,"Carex flacca","Schreb.","Carex",2,"kew-226565",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex flacca",NA
"1662",714,"Ranunculus sceleratus",NA,"Ranunculus",2,"Ranunculus sceleratus","L.","Ranunculus",2,"kew-2526806",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Ranunculus sceleratus",NA
"177",717,"Aphanes arvensis",NA,"Aphanes",2,"Aphanes arvensis","L.","Aphanes",2,"rjp-34",1,FALSE,0.8,0,NA,NA,NA,NA,"Rosaceae",NA,"Aphanes arvensis",NA
"938",718,"Geranium columbinum",NA,"Geranium",2,"Geranium columbinum","L.","Geranium",2,"kew-2823070",1,FALSE,0.8,0,NA,NA,NA,NA,"Geraniaceae",NA,"Geranium columbinum",NA
"2124",724,"Viola reichenbachiana",NA,"Viola",2,"Viola reichenbachiana","Jord. ex Boreau","Viola",2,"kew-2459911",1,FALSE,0.8,0,NA,NA,NA,NA,"Violaceae",NA,"Viola reichenbachiana",NA
"1536",726,"Poa bulbosa",NA,"Poa",2,"Poa bulbosa","L.","Poa",2,"kew-435458",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Poa bulbosa",NA
"1027",730,"Hornungia petraea",NA,"Hornungia",2,"Hornungia petraea","(L.) Rchb.","Hornungia",2,"kew-2853412",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Hornungia petraea",NA
"2084",735,"Veronica hederifolia",NA,"Veronica",2,"Veronica hederifolia","L.","Veronica",2,"kew-2462930",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica hederifolia",NA
"2088",739,"Veronica peregrina",NA,"Veronica",2,"Veronica peregrina","L.","Veronica",2,"kew-2463306",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica peregrina",NA
"1071",740,"Isatis tinctoria",NA,"Isatis",2,"Isatis tinctoria","L.","Isatis",2,"kew-2867046",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Isatis tinctoria",NA
"751",742,"Elymus repens",NA,"Elymus",2,"Elymus repens","(L.) Gould","Elymus",2,"kew-411505",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Elymus repens",NA
"812",745,"Eupatorium cannabinum",NA,"Eupatorium",2,"Eupatorium cannabinum","L.","Eupatorium",2,"gcc-133964",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Eupatorium cannabinum",NA
"996",746,"Helleborus viridis",NA,"Helleborus",2,"Helleborus viridis","L.","Helleborus",2,"kew-2844826",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Helleborus viridis",NA
"200",750,"Arenaria serpyllifolia",NA,"Arenaria",2,"Arenaria serpyllifolia","L.","Arenaria",2,"kew-2650139",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Arenaria serpyllifolia",NA
"1314",751,"Myosotis arvensis",NA,"Myosotis",2,"Myosotis arvensis","(L.) Hill","Myosotis",2,"kew-2357149",1,FALSE,0.8,0,NA,NA,NA,NA,"Boraginaceae",NA,"Myosotis arvensis",NA
"296",752,"Brassica rapa",NA,"Brassica",2,"Brassica rapa","L.","Brassica",2,"kew-2682652",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Brassica rapa",NA
"1914",756,"Spergula arvensis",NA,"Spergula",2,"Spergula arvensis","L.","Spergula",2,"kew-2487413",1,FALSE,0.8,0,NA,NA,NA,NA,"Caryophyllaceae",NA,"Spergula arvensis",NA
"298",758,"Briza media",NA,"Briza",2,"Briza media","L.","Briza",2,"kew-400245",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Briza media",NA
"526",765,"Chenopodium album",NA,"Chenopodium",2,"Chenopodium album","L.","Chenopodium",2,"kew-2716945",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Chenopodium album",NA
"1452",766,"Pastinaca sativa",NA,"Pastinaca",2,"Pastinaca sativa","L.","Pastinaca",2,"kew-2403590",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Pastinaca sativa",NA
